slevel,grad,Di,MAPKpp,MAPKpp[0],MAPKpp[1],MI,Scyto[0],Scyto[1],Smem[0],Smem[1],Stot,StotNative,StotNone,StotOE,StotOpt,Sves[0],Sves[1],dX,dtzero,gdm,l,maxdose,numiter,p2,p3a,p3b,p3c,p3d,p3e,p4a,p4b,p4n,p5,tp
StotOpt,0.384615384615,0.0001,0.541098469178,0.00492193895888,0.0049232877842,4.12581864026,3.20689195799,3.20688814702,0.0524780977995,0.0524866372183,3.3,1.5,0.0,42.0,3.3,0.0406196918134,0.0406354681572,0.0001,3.29021274323e-10,3.26923076923e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.410256410256,0.0001,0.560415761984,0.00509764870695,0.00509905404016,4.02999964762,3.20047704158,3.20047297037,0.0557460709843,0.0557551291508,3.3,1.5,0.0,42.0,3.3,0.0437660643295,0.0437827235814,0.0001,3.5363217514e-10,3.48717948718e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.435897435897,0.0001,0.578946634047,0.00526620748142,0.00526766243137,3.92685451184,3.19414438401,3.19414006585,0.0589892878156,0.0589988594784,3.3,1.5,0.0,42.0,3.3,0.0468549580714,0.0468724447793,0.0001,3.66373571065e-10,3.70512820513e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.461538461538,0.0001,0.5966957141,0.00542765671316,0.00542915574625,3.82106473866,3.18789465988,3.18789013208,0.062208366943,0.062218447646,3.3,1.5,0.0,42.0,3.3,0.0498850629568,0.0499033304943,0.0001,3.85388190249e-10,3.92307692308e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.487179487179,0.0001,0.613676179372,0.00558211656508,0.00558365358008,3.71167709342,3.18172759584,3.18172285732,0.0654038906957,0.0654144752592,3.3,1.5,0.0,42.0,3.3,0.0528560905191,0.0528750903684,0.0001,3.95479060888e-10,4.14102564103e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.512820512821,0.0001,0.629907271086,0.00572976197486,0.00573133108714,3.59972818314,3.17564220691,3.17563724289,0.0685764071292,0.0685874902704,3.3,1.5,0.0,42.0,3.3,0.0557684833167,0.0557881694864,0.0001,4.05649103266e-10,4.35897435897e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.538461538462,0.0001,0.645412250601,0.00587080374749,0.00587240070027,3.48914053879,3.16963701179,3.16963184279,0.0717264329519,0.0717380105731,3.3,1.5,0.0,42.0,3.3,0.0586231821889,0.0586435197063,0.0001,4.30223560076e-10,4.57692307692e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.564102564103,0.0001,0.660217027997,0.00600547770931,0.00600709802416,3.37926627218,3.16371023395,3.16370486509,0.0748544579979,0.074866525188,3.3,1.5,0.0,42.0,3.3,0.0614214831466,0.0614424346347,0.0001,4.37400263856e-10,4.79487179487e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.589743589744,0.0001,0.67434902417,0.00613403310911,0.00613567273023,3.27085543671,3.15785989839,3.15785432291,0.0779609464631,0.0779734985742,3.3,1.5,0.0,42.0,3.3,0.064164900667,0.064186432997,0.0001,4.57883864088e-10,5.01282051282e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.615384615385,0.0001,0.687836396969,0.00625672567501,0.00625838141924,3.16539338103,3.15208390058,3.15207813253,0.0810463397651,0.0810593725461,3.3,1.5,0.0,42.0,3.3,0.0668550850682,0.0668771695084,0.0001,4.61979219393e-10,5.23076923077e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
