Input,lbl,slevel,MAPKpp,MI,p4a,p4b,p4m,p4n
0.39387755102040817,flat,StotOE,0.785779963802785,-0.28999055837095705,0.0,6.5,-47.5,495
0.4140816326530612,flat,StotOE,0.7729403131198483,-0.2972079081320927,0.0,6.5,-47.5,495
0.4342857142857143,flat,StotOE,0.7607093307125746,-0.29986501178786196,0.0,6.5,-47.5,495
0.45448979591836736,flat,StotOE,0.7490772709898815,-0.2987595621681516,0.0,6.5,-47.5,495
0.4746938775510204,flat,StotOE,0.7380343634890972,-0.2954628553819152,0.0,6.5,-47.5,495
0.49489795918367346,flat,StotOE,0.7275716632419991,-0.28970895792436036,0.0,6.5,-47.5,495
0.5151020408163265,flat,StotOE,0.7176817378439667,-0.2823186186310078,0.0,6.5,-47.5,495
0.5353061224489796,flat,StotOE,0.7083592594672097,-0.2728709595431477,0.0,6.5,-47.5,495
0.5555102040816327,flat,StotOE,0.6996015542581051,-0.26195369761207044,0.0,6.5,-47.5,495
0.5757142857142857,flat,StotOE,0.6914091528234052,-0.2497105289150761,0.0,6.5,-47.5,495
0.5959183673469388,flat,StotOE,0.6837863799018352,-0.23607021560708932,0.0,6.5,-47.5,495
0.6161224489795918,flat,StotOE,0.6767420198168386,-0.2209429438352682,0.0,6.5,-47.5,495
0.6363265306122449,flat,StotOE,0.6702900941042752,-0.20425780650201728,0.0,6.5,-47.5,495
0.656530612244898,flat,StotOE,0.6644507888722642,-0.1859062224414235,0.0,6.5,-47.5,495
0.676734693877551,flat,StotOE,0.6592515685674509,-0.16576003261679495,0.0,6.5,-47.5,495
0.6969387755102041,flat,StotOE,0.6547285086365757,-0.14347929878513577,0.0,6.5,-47.5,495
0.7171428571428571,flat,StotOE,0.6509278629477973,-0.11876655083825952,0.0,6.5,-47.5,495
0.7373469387755102,flat,StotOE,0.6479078427815855,-0.09118102056379639,0.0,6.5,-47.5,495
0.7575510204081632,flat,StotOE,0.6457404994829956,-0.06025021800302764,0.0,6.5,-47.5,495
0.7777551020408163,flat,StotOE,0.6445134362908916,-0.025437608596321097,0.0,6.5,-47.5,495
